value,May_2020,Sep_2022,variable,workers,wfh_baseline,pct_teleworkable,sort,groupPct,groupPctPrev
Under 25,0.181110694886539,0.018711721317985,Age,20173504,0.0235346819273439,0.243705772365549,1,0.129950372411276,0
25 to 34,0.392221459112899,0.0696034441009166,Age,35056513,0.0354120787769166,0.387520056085511,2,0.225821301038766,0.129950372411276
35 to 44,0.404568777669892,0.0615384521891508,Age,32415813,0.0534467545207026,0.4231031424838,3,0.208810872487214,0.355771673450042
45 to 54,0.369620838235242,0.0516521532316508,Age,32614303,0.0582263248121537,0.428941748664844,4,0.210089472844391,0.564582545937256
55 to 64,0.346925405403749,0.0453183250951412,Age,26163800,0.0640382513243489,0.428021376667952,5,0.168537679606585,0.774672018781647
65 and over,0.299360476008786,0.0358991763823355,Age,8816130,0.0995267764880963,0.449995018940861,6,0.0567903016117689,0.943209698388231
Advanced degree,0.68909889263335,0.10613199383341,College,19918174,0.069469972498483,0.714701407480192,1,0.128305629455974,0
Bachelor's degree,0.537697198015307,0.085294179336016,College,33938992,0.0734238365122924,0.611408741275803,2,0.218622637379373,0.128305629455974
Some college or associate degree,0.237132324062173,0.0331877465619659,College,39364244,0.0476401121789612,0.348833729595164,3,0.253570136724307,0.346928266835347
High school or less,0.121574227329188,0.0146052422376265,College,62018653,0.0346620556238137,0.204043945088509,4,0.399501596440347,0.600498403559653
Secondary school teachers,0.91722789600587,0.02335974321992,Detailed occupation,872026,0.0164628118886363,1,1,0.017082879664496,0
"Software developers, applications and systems software",0.818598295562629,0.243047063416458,Detailed occupation,1407567,0.109368150858893,1,2,0.0275740604990168,0.017082879664496
Postsecondary teachers,0.873855481423571,0.0637972074193399,Detailed occupation,1439139,0.0468863674738854,0.985863292211574,3,0.0281925520081776,0.0446569401635128
Management analysts,0.648066447931979,0.169343603087973,Detailed occupation,881982,0.246787349401688,1,4,0.0172779164523208,0.0728494921716904
Elementary and middle school teachers,0.874856779014132,0.0220521343671349,Detailed occupation,3545255,0.0147746777030143,1,5,0.0694510995600506,0.0901274086240111
Computer and information systems managers,0.756676977578308,0.144261118378411,Detailed occupation,612445,0.10797051163778,1,6,0.0119977205222347,0.159578508184062
"Lawyers, and judges, magistrates, and other judicial workers",0.786510311372147,0.18564657877649,Detailed occupation,1163633,0.0736632598078604,0.96659109189703,7,0.0227954241188181,0.171576228706296
Other business operations and management specialists,0.711924003917824,0.138994086566499,Detailed occupation,639820,0.126788784345597,0.918354120429704,8,0.012533993329256,0.194371652825115
Computer scientists and systems analysts/network systems analysts/web developers,0.701427971205461,0.142930156953532,Detailed occupation,1711417,0.113432903845176,1,9,0.0335264437835256,0.206905646154371
Computer support specialists,0.696337913037277,0.0867435711129285,Detailed occupation,669057,0.106334736801199,1,10,0.0131067424820919,0.240432089937896
Education administrators,0.757335231059212,0.0714925570688932,Detailed occupation,940378,0.0344765615529074,0.885414877168871,11,0.0184218867478027,0.253538832419988
Accountants and auditors,0.706337922010744,0.131302363381539,Detailed occupation,1940847,0.0661324669074894,1,12,0.0380209486279056,0.271960719167791
"Managers in marketing, advertising, and public relations",0.643259638046099,0.134598054991449,Detailed occupation,1113387,0.125694839260742,1,13,0.0218111112983032,0.309981667795696
Counselors,0.723508853547302,0.0737715036974907,Detailed occupation,833717,0.0387925399146233,1,14,0.0163324111726538,0.331792779094
Teacher assistants,0.738983823285574,0.0146606738724445,Detailed occupation,1220250,0.0171784470395411,1,15,0.0239045440280464,0.348125190266653
Insurance sales agents,0.631863584069943,0.0611816977878968,Detailed occupation,565176,0.104374566506716,1,16,0.0110717267572999,0.3720297342947
"Engineers, nec",0.676245631807699,0.12331114108597,Detailed occupation,580379,0.0599177434056022,0.463417020845409,17,0.0113695516152047,0.383101461052
"Human resources, training, and labor relations specialists",0.657245457588325,0.133332988104196,Detailed occupation,1049296,0.0757936749973315,1,18,0.0205555766690867,0.394471012667204
Financial managers,0.682367676238229,0.116177231815726,Detailed occupation,1208874,0.0475020556319352,1,19,0.0236816896188163,0.415026589336291
Designers,0.56838519075076,0.105247555379167,Detailed occupation,897867,0.148886193612194,0.753765170346542,20,0.0175891016044499,0.438708278955107
Real estate brokers and sales agents,0.568925777845953,0.0269941037642978,Detailed occupation,886170,0.145564620783823,0.206703910614525,21,0.0173599588455922,0.456297380559557
Chief executives and legislators/public administration,0.589495027829128,0.1025978730316,Detailed occupation,1281997,0.118980777646126,1,22,0.02511415999207,0.47365733940515
Social workers,0.674069269869581,0.0861133593171613,Detailed occupation,1171604,0.033641059607171,0.0759949607546577,23,0.0229515750062981,0.49877149939722
"Sales representatives, services, all other",0.554247600616884,0.0858789740419288,Detailed occupation,661903,0.143107071579975,1,24,0.012966596521857,0.521723074403518
"Sales representatives, wholesale and manufacturing",0.552953884572224,0.0253693497301324,Detailed occupation,1374177,0.127779754718643,1,25,0.0269199545985075,0.534689670925375
Other teachers and instructors,0.554000774382525,0.063639452723374,Detailed occupation,918150,0.105221369057344,1,26,0.0179864430234385,0.561609625523882
"Office and administrative support workers, nec",0.581627305246828,0.147318257098312,Detailed occupation,594619,0.0514346161155295,1,27,0.011648511424227,0.579596068547321
"Managers, nec (including postmasters)",0.526946790239597,0.111680064807757,Detailed occupation,4670681,0.099887147077696,0.858457719856247,28,0.0914980533541979,0.591244579971548
Preschool and kindergarten teachers,0.588876017553502,0.0292393968097938,Detailed occupation,644154,0.0217742962086706,1,29,0.0126188958441649,0.682742633325746
Billing and posting clerks,0.466662633385049,0.0925739910828733,Detailed occupation,500294,0.0663849656402036,0.5,30,0.00980069653756809,0.695361529169911
"Bookkeeping, accounting, and auditing clerks",0.430940763906603,0.0855518181886715,Detailed occupation,1202336,0.088190821866766,1,31,0.0235536110211065,0.705162225707479
Secretaries and administrative assistants,0.462433550325103,0.0678281650414114,Detailed occupation,3068042,0.043642166567472,1,32,0.0601025569095641,0.728715836728585
"Property, real estate, and community association managers",0.344532021887877,0.0402752155607228,Detailed occupation,621142,0.142170389379562,1,33,0.0121680936584051,0.788818393638149
First-line supervisors of office and administrative support workers,0.440356959597757,0.0613004227392262,Detailed occupation,1309346,0.0349854049273454,1,34,0.0256499234623614,0.800986487296554
Customer service representatives,0.403574500098302,0.083379318636846,Detailed occupation,2888529,0.0490349932439661,0.5,35,0.0565859198170776,0.826636410758916
Medical and health services managers,0.398860216803693,0.0552283372642572,Detailed occupation,690684,0.0431050958180586,1,36,0.0135304126920444,0.883222330575993
"Office clerks, general",0.402453073440133,0.0317978991578318,Detailed occupation,1381563,0.0388422388266044,1,37,0.0270646454095635,0.896752743268038
Physicians and surgeons,0.421070435594699,0.0437296390010072,Detailed occupation,948746,0.0178203649870461,0.0855465997181114,38,0.0185858148153517,0.923817388677601
General and operations managers,0.360823783509098,0.0373748566114581,Detailed occupation,979084,0.0443884283677396,1,39,0.0191801324197138,0.942403203492953
Constructions managers,0.30275973274528,0.0296365180558098,Detailed occupation,743049,0.0703062651319092,0,40,0.0145562364560507,0.961583335912667
Receptionists and information clerks,0.312412328892153,0.0305560690933488,Detailed occupation,1217998,0.025521388376664,0,41,0.0238604276312825,0.976139572368717
Educational services,0.76198284947424,0.0449908864739468,Industry,14503807,0.0307961213218019,0.816020910654873,1,0.0942319684738674,0
"Professional, scientific, and technical services",0.623050754427779,0.129354976715082,Industry,7433767,0.133230568028296,0.805300038985442,2,0.0482975606050243,0.0942319684738674
Finance and insurance,0.670337552971366,0.132029804267473,Industry,7332638,0.0838662702290772,0.808580320144624,3,0.0476405203713951,0.142529529078892
Business services,0.524179206389109,0.11890002520955,Industry,8627179,0.118156236238984,0.584433174690618,4,0.0560512187969966,0.190170049450287
"Real estate, rental, and leasing",0.420044601139397,0.0371078302375025,Industry,2775549,0.111222320340949,0.504102600126165,5,0.0180328823918902,0.246221268247283
Public administration,0.455934928814646,0.0865869923341952,Industry,7081261,0.0255810370497571,0.484076370674574,6,0.0460073112740143,0.264254150639174
Other services,0.384192662717021,0.0332421637775036,Industry,4234320,0.060184397967088,0.483199895843929,7,0.0275105914432167,0.310261461913188
Entertainment and recreation services,0.394678490750013,0.0612186113686086,Industry,3066980,0.0376494140816047,0.417360610084651,8,0.0199263243553904,0.337772053356405
Wholesale trade,0.31620584395663,0.0305309195619213,Industry,4013785,0.0625810799532112,0.606900796845977,9,0.0260777643815091,0.357698377711795
Manufacturing,0.311193590701365,0.0507799261001302,Industry,16001615,0.0345198281548456,0.326349509586616,10,0.103963302890818,0.383776142093304
Healthcare and social assistance,0.254269912786356,0.0394602585945474,Industry,21459893,0.0386411991895766,0.302449887742852,11,0.139426011434692,0.487739444984122
"Transportation, communications, and other public utilities",0.230211206125737,0.0430052926654504,Industry,10821584,0.0444594802387525,0.30502773669008,12,0.0703083791948768,0.627165456418814
Personal services,0.131352308446312,0.0206077681931757,Industry,5360422,0.0663666032263878,0.20849074190382,13,0.0348269331569722,0.697473835613691
Construction,0.146739306514107,0.0119066665502294,Industry,10257809,0.0437492060926461,0.159607656612268,14,0.0666455044733396,0.732300768770663
Retail trade,0.137416673847121,0.0215785953088945,Industry,27394244,0.025191569440646,0.125849927392547,15,0.177981790365346,0.798946273244003
"Agriculture, forestry, and fisheries",0.0638746635472672,0.00697897689906894,Industry,3551140,0.0920735313167039,0.0870734135514114,16,0.0230719363906518,0.976928063609348
Computer and mathematical,0.75938168893245,0.183134291167571,Occupation,4830871,0.109319209724292,1,1,0.0312609409744024,0
"Education, training, and library",0.808136454717112,0.0328428362619607,Occupation,9342915,0.0308520413596827,0.992487422649469,2,0.0604587277002137,0.0312609409744024
Legal,0.741422363661733,0.156430405426385,Occupation,1748000,0.0674233409610984,0.977759892469918,3,0.0113114435933511,0.0917196686746161
Financial specialists,0.702371808343467,0.139732976733023,Occupation,3412271,0.0757932180650365,0.868821733597804,4,0.0220810703327961,0.103031112267967
Business operations specialists,0.634492828899598,0.135817346426546,Occupation,4239394,0.119645873914998,0.896733054329065,5,0.0274334474261962,0.125112182600763
Community and social services,0.706630762235782,0.0755127900834631,Occupation,2708386,0.044244062700073,0.566430708178229,6,0.0175261758970376,0.15254563002696
"Life, physical, and social science",0.678775380252368,0.123196034086155,Occupation,1416452,0.0496557596021609,0.658871229864118,7,0.00916597076698473,0.170071805923997
"Arts, design, entertainment, sports, and media",0.55110641368408,0.101144798564119,Occupation,3138095,0.164722865305225,0.717704096366211,8,0.0203068561688084,0.179237776690982
Architecture and engineering,0.640280392506936,0.135533781224634,Occupation,2461217,0.0553713874071242,0.696237765731073,9,0.0159267261249981,0.19954463285979
Management,0.496688988341994,0.0861907426837443,Occupation,16505122,0.085597307308604,0.77870273640701,10,0.106805924773671,0.215471358984788
Office and administrative support,0.357927761891723,0.0552232721987266,Occupation,19265176,0.0426813645512504,0.637478603234621,11,0.124666448306625,0.32227728375846
Sales and related,0.306243563667851,0.0319634132990133,Occupation,15817307,0.0649343785260032,0.275150121365983,12,0.102355020554472,0.446943732065085
Healthcare practitioners and technical,0.239290527648587,0.0321869430808728,Occupation,9398729,0.0242455123453395,0.0487767789943905,13,0.0608199044237373,0.549298752619557
Personal care and service,0.123323012491949,0.0172961793453105,Occupation,5789128,0.101536880856668,0.312046713794936,14,0.0374618963539412,0.610118657043294
Protective service,0.155048696473192,0.0218521411244244,Occupation,3322631,0.0160713001233059,0.0636394819427126,15,0.0215010029393705,0.647580553397236
"Installation, maintenance, and repair",0.108086809792242,0.00757201768626031,Occupation,4866599,0.0279521694719454,0.00696893251323974,16,0.0314921396338437,0.669081556336606
Healthcare support,0.0673359655230864,0.0104197999041194,Occupation,3646161,0.0294125794225762,0.0270929940036076,17,0.023594590665776,0.70057369597045
Construction,0.0641646246129524,0.00649248117545767,Occupation,7737007,0.0289917018299195,0,18,0.0500667724610197,0.724168286636226
Production,0.0708257204701784,0.00878672584013278,Occupation,8885716,0.0195711859348194,0.00924460768809695,19,0.0575001575060281,0.774235059097245
"Farming, fishing, and forestry",0.0250634453126016,0.00113993388451176,Occupation,1053710,0.0551214280969147,0.0143561795940059,20,0.00681863914688212,0.831735216603273
Transportation and material moving,0.0534146051232847,0.00650652841277374,Occupation,10091247,0.0211358417844693,0.00275171232015748,21,0.0653012421207512,0.838553855750156
Building and grounds cleaning and maintenance,0.0392853609312413,0.00672646926322398,Occupation,5937863,0.0322769319534654,0,22,0.0384243720763995,0.903855097870907
Food preparation and serving,0.0443260107367774,0.00536559603355144,Occupation,8919771,0.0119654417136942,0.00407996765915432,23,0.0577205300526937,0.942279469947306
Women,0.409004153668075,0.0562563726172649,Sex,73554308,0.0540941395302094,0.4606880593294,1,0.473810088572304,0
Men,0.307081294798886,0.0474166117421086,Sex,81685755,0.0480108190222396,0.336492680243909,2,0.526189911427696,0.473810088572304
